# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario.png	255	255	255
20	textures\misc.png	176	224	248
10	textures\enemies.png	3	26	110
30	textures\tiles.png	255	128	192
40	textures\tiles4.png	4	193	170
50	textures\enemies-2.png	0	128	128
60	textures\enemy3.png	255	255	255
70	textures\map.png	156	252	240

# id	left	top	right	bottom	texture_id
[SPRITES]
1001	6	0	20	16	0
1002	36	0	50	16	0
1003	67	0	81	15	0
1004	95	0	111	16	0
1005	125	0	140	16	0
1006	155	0	171	16	0
1007	187	0	199	15	0
1008	216	0	230	15	0
1009	247	0	259	15	0
1010	275	0	291	16	0
1011	306	0	321	16	0
1012	335	0	351	16	0
1013	367	0	379	15	0
1014	395	80	421	96	0
1015	426	0	440	16	0
2001	5	40	6	41	0
2002	35	40	51	56	0
2003	65	40	81	56	0
2004	96	40	110	56	0
2005	125	40	141	55	0
2006	155	40	171	56	0
2007	186	40	200	55	0
2008	216	40	230	55	0
2009	246	40	260	55	0
2010	275	40	291	56	0
2011	305	40	321	55	0
2012	36	40	50	56	0
2013	65	40	81	56	0
2014	395	40	411	56	0
2015	426	40	441	56	0
3001	5	80	21	96	0
3002	35	80	51	96	0
3003	66	80	80	95	0
3004	96	80	110	95	0
3005	125	80	141	95	0
3006	155	80	170	96	0
3007	185	80	200	96	0
3008
3009	246	80	261	96	0
3010	276	80	291	96	0
3011	305	80	321	95	0
3012	336	80	350	95	0
3013	366	80	380	95	0
3014	395	80	411	96	0
3015	425	80	441	96	0
4001	7	124	19	137	0
4002	38	124	50	138	0
4003	66	120	80	135	0
4004	95	120	110	136	0
4005	126	120	139	136	0
4006	155	120	170	136	0
4007	186	120	200	136	0
4008	215	120	231	136	0
4009	246	120	260	136	0
4010	276	120	291	136	0
4011	307	120	320	136	0
4012	336	120	351	136	0
4013	366	120	380	135	0
4014	396	124	408	138	0
4015	427	124	439	137	0
5001	5	154	21	182	0
5002	35	155	54	181	0
5003	65	154	84	181	0
5004	93	154	112	181	0
5005	125	155	141	181	0
5006	155	154	171	181	0
5007	186	154	200	181	0
5008	215	154	231	181	0
5009	246	154	260	181	0
5010	275	154	291	181	0
5011	305	155	321	181	0
5012	334	154	353	181	0
5013	362	154	381	181	0
5014	392	155	411	181	0
5015	425	154	441	182	0
6001	5p	195	16	221	0
6002	33	195	52	221	0
6003	64	194	82	221	0
6004	93	195	112	221	0
6005	194	19	221	45	0
6006	153	94	172	121	0
6007	184	194	202	221	0
6008	215	194	231	221	0
6009	244	194	262	221	0
6010	274	194	293	221	0
6011	304	194	323	221	0
6012	334	195	353	221	0
6013	364	194	382	221	0
6014	394	195	413	221	0
6015	425	195	441	221	0
7001	6	230	20	257	0
7002	36	234	50	261	0
7003	66	234	80	261	0
7004	96	234	110	261	0
7005	125	235	141	261	0
7006	155	234	170	261	0
7007	186	234	200	261	0
7008	215	234	231	261	0
7009	246	234	260	261	0
7010	276	234	291	261	0
7011	305	235	321	261	0
7012	336	234	350	261	0
7013	366	234	380	261	0
7014	396	234	410	261	0
7015	426	230	440	257	0
8001	2	274	23	301	0
8002	35	275	51	301	0
8003	66	277	80	299	0
8004	95	275	111	300	0
8005	122	274	143	301	0
8006	155	274	171	301	0
8007	185	274	201	301	0
8008	215	274	231	301	0
8009	245	274	261	301	0
8010	275	274	291	301	0
8011	303	274	324	301	0
8012	335	275	351	300	0
8013	366	277	380	299	0
8014	395	275	411	301	0
8015	423	274	444	301	0
9001	3	315	22	341	0
9002	33	314	52	341	0
9003	65	314	81	341	0
9004	96	314	110	341	0
9005	125	315	141	341	0
9006	155	314	170	341	0
9007	214	317	232	338	0
9008	276	314	291	341	0
9009	305	315	321	341	0
9010	336	314	350	341	0
9011	365	314	381	341	0
9012	394	314	413	341	0
9013	424	315	443	341	0
10001	3	358	22	378	0
10002	32	358	53	378	0
10003	63	358	83	377	0
10004	93	357	113	378	0
10005	125	360	141	383	0
10006	155	358	171	382	0
10007	185	354	201	381	0
10008	245	354	261	381	0
10009	275	358	291	382	0
10010	305	360	321	383	0
10011	333	357	353	378	0
10012	363	358	383	377	0
10013	393	358	414	378	0
10014	424	358	443	378	0
11001	5	394	21	422	0
11002	35	395	54	421	0
11003	65	394	84	421	0
11004	93	394	112	421	0
11005	125	395	141	421	0
11006	155	394	171	421	0
11007	186	394	200	421	0
11008	215	394	231	421	0
11009	246	394	260	421	0
11010	275	394	291	421	0
11011	305	395	321	421	0
11012	334	394	353	421	0
11013	362	394	381	421	0
11014	392	395	411	421	0
11015	425	394	441	422	0
12001	5	435	21	461	0
12002	33	435	52	461	0
12003	64	434	82	461	0
12004	93	435	112	461	0
12005	123	434	142	461	0
12006	153	434	172	461	0
12007	184	434	202	461	0
12008	215	434	231	461	0
12009	244	434	262	461	0
12010	274	434	293	461	0
12011	304	434	323	461	0
12012	334	435	353	461	0
12013	364	434	382	461	0
12014	394	435	413	461	0
12015	425	435	441	461	0
13001	6	470	20	497	0
13002	36	474	50	501	0
13003	66	474	80	501	0
13004	96	474	110	501	0
13005	125	475	141	501	0
13006	155	474	170	501	0
13007	186	474	200	501	0
